timestamp,pkg,input,threads,mode,run_idx,elapsed_s,task_clock_ms,cycles,instructions,branches,branch_misses,ctx_switches,migrations,page_faults,exit_code
2025-08-11T18:35:02-06:00,blackscholes,simlarge,4,baseline,1,0.13,129.50,<not supported>,<not supported>,<not supported>,<not supported>,458,34,94809,0
2025-08-11T18:35:02-06:00,blackscholes,simlarge,4,baseline,2,0.13,136.03,<not supported>,<not supported>,<not supported>,<not supported>,527,31,94801,0
2025-08-11T18:35:02-06:00,blackscholes,simlarge,4,baseline,3,0.12,122.51,<not supported>,<not supported>,<not supported>,<not supported>,495,31,94560,0
2025-08-11T18:35:02-06:00,blackscholes,simlarge,4,baseline,4,0.12,127.16,<not supported>,<not supported>,<not supported>,<not supported>,472,28,94547,0
2025-08-11T18:35:02-06:00,blackscholes,simlarge,4,baseline,5,0.12,126.86,<not supported>,<not supported>,<not supported>,<not supported>,469,25,95419,0
2025-08-11T18:35:02-06:00,swaptions,simlarge,4,baseline,1,0.40,1227.69,<not supported>,<not supported>,<not supported>,<not supported>,1523,35,94573,0
2025-08-11T18:35:03-06:00,swaptions,simlarge,4,baseline,2,0.40,1221.98,<not supported>,<not supported>,<not supported>,<not supported>,1365,32,94616,0
2025-08-11T18:35:03-06:00,swaptions,simlarge,4,baseline,3,0.40,1222.70,<not supported>,<not supported>,<not supported>,<not supported>,1165,13,94639,0
2025-08-11T18:35:04-06:00,swaptions,simlarge,4,baseline,4,0.40,1223.89,<not supported>,<not supported>,<not supported>,<not supported>,1177,21,95147,0
2025-08-11T18:35:04-06:00,swaptions,simlarge,4,baseline,5,0.41,1232.76,<not supported>,<not supported>,<not supported>,<not supported>,1340,30,94623,0
2025-08-11T18:35:04-06:00,streamcluster,simlarge,4,baseline,1,0.54,1578.98,<not supported>,<not supported>,<not supported>,<not supported>,4862,84,97179,0
2025-08-11T18:35:05-06:00,streamcluster,simlarge,4,baseline,2,0.51,1552.07,<not supported>,<not supported>,<not supported>,<not supported>,4885,76,96378,0
2025-08-11T18:35:05-06:00,streamcluster,simlarge,4,baseline,3,0.56,1632.03,<not supported>,<not supported>,<not supported>,<not supported>,5478,81,97175,0
2025-08-11T18:35:06-06:00,streamcluster,simlarge,4,baseline,4,0.50,1515.16,<not supported>,<not supported>,<not supported>,<not supported>,2393,78,96907,0
2025-08-11T18:35:07-06:00,streamcluster,simlarge,4,baseline,5,0.54,1609.60,<not supported>,<not supported>,<not supported>,<not supported>,4991,68,96387,0
2025-08-11T18:35:07-06:00,canneal,simlarge,4,baseline,1,0.16,111.55,<not supported>,<not supported>,<not supported>,<not supported>,459,26,94054,0
2025-08-11T18:35:07-06:00,canneal,simlarge,4,baseline,2,0.16,112.28,<not supported>,<not supported>,<not supported>,<not supported>,436,21,94047,0
2025-08-11T18:35:07-06:00,canneal,simlarge,4,baseline,3,0.16,110.96,<not supported>,<not supported>,<not supported>,<not supported>,487,22,94045,0
2025-08-11T18:35:08-06:00,canneal,simlarge,4,baseline,4,0.16,112.60,<not supported>,<not supported>,<not supported>,<not supported>,479,19,94068,0
2025-08-11T18:35:08-06:00,canneal,simlarge,4,baseline,5,0.16,112.51,<not supported>,<not supported>,<not supported>,<not supported>,461,41,94067,0
